baseline_kind,comparison,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,sample_seed,scope,task_label,test_per_task,valid_records,validation_per_task
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,0,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,0,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,0,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,1,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,1,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,1,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,1,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,10,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,10,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,10,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,10,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,2,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,2,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,2,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,2,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,3,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,3,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,3,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,3,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,4,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,4,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,4,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,4,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,5,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,5,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,-2.507915609628597e-07,map,101,test_by_task,5,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,5,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,6,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,6,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,6,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,6,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,7,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,7,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,7,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,7,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,8,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,101,test_by_task,8,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,map,101,test_by_task,8,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,101,test_by_task,8,50,550,20
