baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,markov_weight,method,mrr,recall@10,sample_seed,scope,task_label,test_per_task,top1_accuracy,valid_records,validation_per_task
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7497416946986395,0.9,candidate_size_depth,1.0,0.19183673469387755,202,test_by_task,1,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6145231494759585,0.9,candidate_size_depth,0.9833333333333333,0.18979591836734694,202,test_by_task,10,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.8916189853905122,0.9,candidate_size_depth,0.9840000000000001,0.20081632653061224,202,test_by_task,2,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7938199636338257,0.9,candidate_size_depth,0.9407407407407408,0.18244897959183676,202,test_by_task,3,50,0.92,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7884907136313489,0.9,candidate_size_depth,0.9658181818181818,0.1906122448979592,202,test_by_task,4,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.5078442153302183,0.9,candidate_size_depth,0.9001547714514835,0.18,202,test_by_task,5,50,0.88,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.5973124681692582,0.9,candidate_size_depth,0.9813333333333334,0.16938775510204082,202,test_by_task,6,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6950386978448347,0.9,candidate_size_depth,0.980952380952381,0.18653061224489798,202,test_by_task,7,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7354477572493184,0.9,candidate_size_depth,0.9565384615384616,0.1820408163265306,202,test_by_task,8,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.8874798171835007,0.9,candidate_size_depth,1.0,0.2,202,test_by_task,9,50,1.0,550,20
