baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,map_std,markov_weight,method,mrr,mrr_std,recall@10,recall@10_std,sample_seed,scope,test_per_task,top1_accuracy,top1_accuracy_std,valid_records,validation_per_task
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6596291897266658,,0.85,M2_markov_jsd,0.9704915974509276,,0.1793692022263451,,13,overall,,0.96,,550,
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6891607531462084,,0.85,M4_markov_size_depth,0.9739377599524658,,0.182708719851577,,13,overall,,0.9618181818181818,,550,
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6653515786617342,,0.85,M4_markov_branching,0.9765726495726497,,0.18289424860853434,,13,overall,,0.9618181818181818,,550,
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6775238255674028,,0.85,M4_markov_metric_distortion,0.9618981106144067,,0.18051948051948052,,13,overall,,0.9418181818181818,,550,
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6866164578942886,,0.85,M4_markov_shape,0.9756230158730159,,0.18448979591836737,,13,overall,,0.9636363636363636,,550,
flat_markov_jsd,dta_feature_ablation_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.6936746685614356,,0.85,M4_markov_all,0.9757495138551289,,0.1852690166975881,,13,overall,,0.9636363636363636,,550,
transition_count,dta_feature_ablation_transition_count_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.7418147799057162,,0.85,M2_transition_count_jsd,0.9874057584644096,,0.1886456400742115,,13,overall,,0.9836363636363636,,550,
transition_count,dta_feature_ablation_transition_count_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.7489796509648609,,0.85,M4_markov_size_depth,0.9878319559228649,,0.18946196660482373,,13,overall,,0.9818181818181818,,550,
transition_count,dta_feature_ablation_transition_count_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.7187275242210271,,0.85,M4_markov_branching,0.9898042929292928,,0.18771799628942487,,13,overall,,0.9854545454545455,,550,
transition_count,dta_feature_ablation_transition_count_limit50_seed13_w085.json,method_comparison,,0.15000000000000002,50,0.7262672847288084,,0.85,M4_markov_metric_distortion,0.9817527234670093,,0.1859369202226345,,13,overall,,0.9727272727272728,,550,
