ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.9523809523809526,6.190476190476191,10.571428571428571,1.1741740958036146,2.674732699044499,4.288094577086753,41,41,-1.3170731707317074,0.07317073170731707,0.7804878048780488,0.14634146341463414,-4.0,-1.0,1.0,1.4388176784148903,42,task-03:12,12,task-03.csv,3,ast
2.971014492753623,6.27536231884058,10.884057971014492,1.17917945546713,2.838064547534364,5.011685567603321,68,68,-1.3529411764705883,0.058823529411764705,0.7794117647058824,0.16176470588235295,-4.0,-1.0,1.0,1.5025929146405648,69,task-03:13,13,task-03.csv,3,ast
2.9726027397260273,6.095890410958904,10.561643835616438,1.0976014040553494,2.804909509744166,5.104352967381144,72,72,-1.1666666666666667,0.041666666666666664,0.75,0.20833333333333334,-4.0,-1.0,1.0,1.4719601443879744,73,task-03:14,14,task-03.csv,3,ast
2.966666666666667,6.166666666666667,10.6,1.1396880664852505,2.7938424357067015,5.030573194643595,59,59,-1.2542372881355932,0.06779661016949153,0.7457627118644068,0.1864406779661017,-4.0,-1.0,1.0,1.502463743198665,60,task-03:15,15,task-03.csv,3,ast
2.975,6.25,11.35,1.1616260155488942,3.191786333700926,6.066506408139697,79,79,-1.3164556962025316,0.0759493670886076,0.7215189873417721,0.20253164556962025,-4.0,-1.0,1.0,1.672898672829936,80,task-03:16,16,task-03.csv,3,ast
2.973333333333333,6.12,10.733333333333333,1.1072287729080903,2.8329489935401235,4.935134806219133,74,74,-1.1891891891891893,0.013513513513513514,0.7567567567567568,0.22972972972972974,-4.0,-1.0,1.0,1.521696028136135,75,task-03:17,17,task-03.csv,3,ast
2.971014492753623,6.420289855072464,11.782608695652174,1.2391092463651625,3.294289292847479,6.360816566888684,68,68,-1.5,0.04411764705882353,0.7794117647058824,0.17647058823529413,-4.65,-1.0,1.0,1.7945997423643294,69,task-03:18,18,task-03.csv,3,ast
2.967741935483871,6.354838709677419,11.03225806451613,1.2177152314952822,2.823271804779492,4.697177402047524,61,61,-1.4426229508196722,0.03278688524590164,0.819672131147541,0.14754098360655737,-4.0,-1.0,1.0,1.4989022230376998,62,task-03:19,19,task-03.csv,3,ast
2.986111111111111,6.680555555555555,14.152777777777779,1.317542488831591,4.739978870349321,11.18053830226412,143,143,-1.7202797202797202,0.04195804195804196,0.7272727272727273,0.23076923076923078,-9.0,-1.0,1.0,2.7262146055662453,144,task-04:0,0,task-04.csv,4,ast
2.9761904761904763,6.404761904761905,11.880952380952381,1.2245134162498847,3.211286078293865,5.274387262775878,83,83,-1.4698795180722892,0.060240963855421686,0.7590361445783133,0.18072289156626506,-4.0,-1.0,1.0,1.7239444082781505,84,task-04:1,1,task-04.csv,4,ast
2.982300884955752,6.415929203539823,11.991150442477876,1.2191851397730635,3.414507476155584,6.628572605220282,112,112,-1.4642857142857142,0.044642857142857144,0.75,0.20535714285714285,-5.0,-1.0,1.0,1.8172220333155074,113,task-04:2,2,task-04.csv,4,ast
2.9692307692307693,6.384615384615385,11.892307692307693,1.2274956464811504,3.4538375877913303,5.7649419956334125,64,64,-1.46875,0.03125,0.703125,0.265625,-5.0,-1.0,1.0,2.0613159480050602,65,task-04:3,3,task-04.csv,4,ast
